JUSTIFICACION ;PRODUCTO RELACIONADO;DESCRIPCION
"La empresa PRODUCTORA Y COMERCIALIZADORA JGX S.A.S. constituida en el año 2019, cuenta con una amplia trayectoria en el desarrollo de actividades agrícolas mediante el cultivo y producción de plátano, maracuyá y guayaba en una finca ubicada en el municipio de San Lorenzo, Nariño. El cultivo de plátano lo realiza en forma escalonada sembrando por cada hectárea 2.000 plantas, el cultivo de maracuyá también se maneja de manera escalonada la sacando cada dos meses en promedio de 15 toneladas; por ultimo, el cultivo de guayaba lo maneja con ciclos semestrales y saca un promedio de 50 toneladas. ";144050;Otros Cultivos
El señor Fabian Elizalde Berrios cuenta con una amplia trayectoria en el desarrollo de actividades agrícolas mediante el cultivo de arroz secano, cuenta con una extensión total de 100 hectáreas para la siembra, distribuidas en una finca ubicada en el municipio de Villavicencio, Meta, caracterizándose por llevar a cabo una actividad bajo las mejores condiciones y poder de esa manera ofrecer un producto de la mas alta calidad adaptándose a las diferentes expectativas y necesidades de sus clientes.;111200;Arroz secano
El señor Carlos Andres Rojas Londoño oriundo del municipio de Puerto Berrio, Antioquia. Cuenta con una amplia experiencia en el desarrollo de actividades agrícolas, llevando a cabo su actividad en un predio ubicado en el municipio de Puerto Salgar, contando con 277,80 hectáreas de extensión, de las cuales 200 hectáreas se encuentran sembradas en pasto, para sacar el producto del Heno, o pacas de paja para elaborar comidas para ganado, entre ellos los equinos, ganado Bovino y demas, distribuyendo sus productos a diferentes productores del territorio nacional.;144050;Otros Cultivos
El señor Ferney Lopez Franco, oriundo del municipio de Alvarado, Tolima cuenta con una experiencia de mas de 6 años en el desarrollo de actividades relacionadas con la explotación agropecuaria mediante la siembra y cosecha de arroz. De la misma manera desarrolla actividades ganaderas mediante la cría y doble propósito de ganado bovino, realizando la ceba de animales para la producción de carne. Lleva a cabo sus actividades ganaderas y agrícolas en 3 predios distribuidos en los municipios de Cartagena del Chairá y Ambalema, caracterizándose por ofrecer a sus clientes productos de la mas alta calidad.;111150;Arroz con riego
El señor Fabio Humberto Acosta Martinez oriundo del municipio de Acacias, Meta cuenta con una amplia experiencia en el desarrollo y explotación de actividades agrícolas mediante el cultivo y producción de arroz, contando con dos predios ubicados en el municipio de Paz de Ariporo los cuales suman una extensión total de 700 hectáreas para el desarrollo de sus actividades agro productivas, obteniendo un rendimiento promedio por hectárea de 95 bultos, vendiendo a $1.800 kilo, cumpliendo a su vez con excelentes referencias comerciales como lo son: Diana Corporación y ORF.;111200;Arroz secano
"El señor Jose Ivan Serrano Gutierrez tiene como objeto social el cultivo de arroz desde el año 2005, contando con diferentes predios ubicados en los municipio de Tello, Huila y Restrepo, Meta; cuenta con una extensión total de 1062 hectáreas para el desarrollo de su actividad, cumpliendo a su vez con el conocimiento necesario para llevar a cabo una labor bajo las mejores condiciones, realizando la siembra directa y riego, utilizando semillas de excelente variedad garantizando sus productos ofreciendo a sus clientes una alta calidad.";111150;Arroz con riego
El señor Armando Serrano Gutierrez oriundo del municipio de Campoalegre, Huila. Cuenta con una amplia experiencia como productor primario mediante el cultivo de arroz, cuenta con una extensión total de 474 hectáreas para la siembra, distribuidas en tres predios repartidos en los municipios de Campoalegre, Huila y Restrepo, Meta. Su rendimiento promedio por hectárea oscila de 140 a 160 bultos de arroz es decir entre 70 y 80 cargas de arroz, costando cada carga en el mercado actual $230.000. Ofreciendo un producto de la mas alta calidad adaptándose a las diferentes expectativas y necesidades de sus clientes.;111200;Arroz secano
El señor Mauricio Diaz Sanchez oriundo del municipio de Puerto López, Meta cuenta con una experiencia de mas de 15 años en el desarrollo de actividades relacionadas con la producción agrícola mediante el cultivo de arroz secano. Cuenta con una extensión total de 100 hectáreas para la ejecución de su objeto social obteniendo un rendimiento promedio por hectárea de 5,7 toneladas y realiza la venta de carga por valor de $235.000. Se caracteriza por llevar a cabo una actividad sostenible y ofrecer a sus clientes productos de la mas alta calidad.;111200;Arroz secano
"El señor Aldinever Mendoza Vega oriundo del municipio de Granada, Meta cuenta con una amplia experiencia en el desarrollo de actividades relacionadas con el cultivo de maíz, plátano, yuca y demas; así mismo realiza el levante, producción y manejo de ganado bovino contando con un inventario aproximado de 483 semovientes. Lleva a cabo sus actividades ganaderas y agrícolas en 4 predios distribuidos en los municipios de Villavicencio y Mapiripán, caracterizándose por ofrecer a sus clientes productos de la mas alta calidad.";144050;Otros Cultivos
El señor Edgar Perdomo Patiño oriundo del municipio de Baraya, cuenta con una buena trayectoria en el desarrollo y ejecución de actividades relacionadas con la explotación agropecuaria mediante la piscicultura en agua dulce, ganadería y agricultura sembrando Maíz para la producción de Silo, y para la fabricación de comida para ganado, cuenta con terrenos propios situados en Baraya, en donde lleva a cabo sus labores caracterizándose por ofrecer a sus clientes productos de la mas alta calidad.;253400;Ganadería Cría y Doble Propósito
